Ledger ID,Chapter,Battlefield Function,NPC,CR,Role,Class Lens,Faction,Mechanic Family,Actual Spells,Text File
BLM-001,01_Dark_Elves,Civic Operators,Borrowed Veil Runner,1/8,Ambusher,Rogue / infiltrator,Court Behind the Face / Nhalyss,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/Borrowed_Veil_Runner.txt
BLM-002,01_Dark_Elves,Civic Operators,Red Ledger Physician,2,Support,Cleric / support,Unwithering Court / Velisara,resource and debt,Yes,VTT_Statblocks/01_Dark_Elves/Red_Ledger_Physician.txt
BLM-003,01_Dark_Elves,Soldiers and Vanguards,Obsidian Host Lineblade,5,Soldier,Fighter / martial leader,Obsidian Host,formation and interposition,No,VTT_Statblocks/01_Dark_Elves/Obsidian_Host_Lineblade.txt
BLM-004,01_Dark_Elves,Ambushers and Artillery,Gloamwarden Pathstalker,7,Artillery,Ranger / scout,Gloamwardens,pursuit and escape,Yes,VTT_Statblocks/01_Dark_Elves/Gloamwarden_Pathstalker.txt
BLM-005,01_Dark_Elves,Controllers and Specialists,Perfumed Root Gardener,8,Controller,Druid / field specialist,Perfumed Root / Orphira,transformation and stance,Yes,VTT_Statblocks/01_Dark_Elves/Perfumed_Root_Gardener.txt
BLM-006,01_Dark_Elves,Soldiers and Vanguards,Shieldweb Captain,8,Soldier,Fighter / martial leader,Obsidian Host,information and prediction,No,VTT_Statblocks/01_Dark_Elves/Shieldweb_Captain.txt
BLM-007,01_Dark_Elves,Ambushers and Artillery,Nereza Courtesy Assassin,9,Ambusher,Rogue / infiltrator,Red Etiquette / Nereza,pursuit and escape,No,VTT_Statblocks/01_Dark_Elves/Nereza_Courtesy_Assassin.txt
BLM-008,01_Dark_Elves,Civic Operators,Living City Masque-Master,10,Controller,Bard / social controller,Court Behind the Face / Nhalyss,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/Living_City_Masque_Master.txt
BLM-009,01_Dark_Elves,Soldiers and Vanguards,Argent Node Duelist,11,Skirmisher,Fighter / martial leader,Argent Conservatory,pursuit and escape,No,VTT_Statblocks/01_Dark_Elves/Argent_Node_Duelist.txt
BLM-010,01_Dark_Elves,Ambushers and Artillery,Choir-Below Shrieker,12,Artillery,Wizard or warlock / supernatural controller,Choir Below Speech / Vaelith,spell disruption,Yes,VTT_Statblocks/01_Dark_Elves/Choir_Below_Shrieker.txt
BLM-011,01_Dark_Elves,Controllers and Specialists,Remembered-Face Reflector,13,Controller,Wizard or warlock / supernatural controller,Remembered Faces / Maelith,identity and recognition,Yes,VTT_Statblocks/01_Dark_Elves/Remembered_Face_Reflector.txt
BLM-012,01_Dark_Elves,Controllers and Specialists,Patient Threads Binder,14,Controller,Wizard or warlock / supernatural controller,Patient Threads / Selythra,information and prediction,Yes,VTT_Statblocks/01_Dark_Elves/Patient_Threads_Binder.txt
BLM-013,01_Dark_Elves,Soldiers and Vanguards,Gloam Spear Marshal,15,Leader,Fighter / martial leader,Gloamwardens,command and allied tempo,No,VTT_Statblocks/01_Dark_Elves/Gloam_Spear_Marshal.txt
